slug,name_en,name_ar,ig_handle,cuisine,area,lat,lng,logo_url
pearl-grill-house,Pearl Grill House,بيرل جريل هاوس,pearlgrillhouse_qa,Lebanese,The Pearl,25.3690,51.5510,
souq-spice,Souq Spice,سوق سبايس,souqspice_qa,Indian,Souq Waqif,25.2877,51.5333,
west-bay-sushi,West Bay Sushi,ويست باي سوشي,westbaysushi_qa,Japanese,West Bay,25.3210,51.5300,
lusail-pizza-co,Lusail Pizza Co.,لوسيل بيتزا,lusailpizzaco,Italian,Lusail,25.4300,51.4900,
karak-and-co,Karak & Co,كرك آند كو,karakandco_qa,Cafe,Msheireb,25.2870,51.5290,
doha-burger-joint,Doha Burger Joint,دوحة برجر,dohaburgerjoint,Burgers,Aspire,25.2630,51.4470,
katara-mezze,Katara Mezze,كتارا مزة,kataramezze,Lebanese,Katara,25.3590,51.5260,
al-bandar-seafood,Al Bandar Seafood,البندر للمأكولات البحرية,albandarseafood,Seafood,The Pearl,25.3700,51.5520,
saffron-biryani-house,Saffron Biryani House,زعفران برياني,saffronbiryaniqa,Indian,Al Sadd,25.2790,51.4900,
corniche-cafe,Corniche Cafe,كورنيش كافيه,cornichecafe_qa,Cafe,Corniche,25.2960,51.5360,
banana-island-bites,Banana Island Bites,بنانا آيلاند بايتس,bananaislandbites,Healthy,Lusail,25.4350,51.4950,
education-city-eats,Education City Eats,إديوكيشن سيتي إيتس,educiteats,Fast Casual,Education City,25.3150,51.4350,
